male,race_ethnicity,frpl,iep,ell,ever_alternative,ap_ever_take_class,math_ss,read_ss,pct_days_absent,gpa,scale_score_11_eng,scale_score_11_math,scale_score_11_read,scale_score_11_comp,hs_diploma
yes,Hispanic,yes,no,no,no,no,21.0,17.0,13.77451,1.7774999,12.0,15.0,14.0,15.0,1
yes,White,yes,no,no,no,no,14.0,0.0,8.0747805,2.5450001,16.0,17.0,18.0,18.0,1
no,White,no,no,no,yes,no,72.0,66.0,7.4514108,3.6487,,,,,0
no,African-American,yes,no,no,no,no,21.0,45.0,9.1897287,1.4322001,19.0,15.0,21.0,18.0,1
no,Multiple/Native American,yes,yes,no,no,no,24.0,45.0,24.603687,0.80000001,,,,,0
yes,African-American,yes,no,no,no,no,42.0,59.0,14.963225,1.971,,,,,1
yes,White,yes,no,no,no,yes,58.0,61.0,4.2731152,3.4429998,24.0,24.0,28.0,28.0,1
yes,African-American,yes,no,no,no,no,33.0,39.0,10.275912,2.001415,14.0,15.0,12.0,14.0,1
yes,Hispanic,no,no,no,yes,no,33.0,51.0,7.4985638,2.7848501,13.0,15.0,13.0,13.0,1
no,White,no,no,no,no,yes,51.0,48.0,6.3699427,3.3261876,22.0,26.0,14.0,23.0,1
no,White,yes,no,no,no,no,58.0,61.0,2.1754715,2.8794999,19.0,22.0,20.0,20.0,1
yes,White,no,no,no,no,yes,38.0,41.0,6.3338046,3.2785001,22.0,25.0,18.0,21.0,1
yes,White,yes,yes,no,yes,no,44.0,48.0,4.181818,2.6300001,8.0,12.0,15.0,13.0,0
yes,White,yes,no,no,no,no,68.0,59.0,11.108298,1.4186001,21.0,23.0,22.0,23.0,1
yes,White,yes,no,no,no,no,74.0,73.0,8.2595739,2.4486849,18.0,22.0,22.0,20.0,0
yes,White,yes,no,no,no,no,42.0,39.0,11.891566,3.17715,20.0,15.0,16.0,18.0,1
yes,White,yes,yes,no,no,no,34.0,38.0,4.9016156,2.1117201,11.0,15.0,17.0,15.0,1
no,White,yes,no,no,no,no,,,9.6296835,3.059,23.0,16.0,27.0,22.0,1
no,White,no,no,no,no,no,26.0,35.0,8.1905594,2.26,17.0,16.0,21.0,16.0,0
no,White,no,no,no,no,no,55.0,52.0,3.3131311,3.9305,28.0,26.0,29.0,29.0,1
no,White,yes,yes,no,no,no,60.0,48.0,7.5382438,2.5135,5.0,14.0,15.0,13.0,1
no,White,no,no,no,no,no,30.0,45.0,7.9513593,2.6919999,25.0,17.0,26.0,23.0,1
yes,White,no,no,no,no,no,,,3.7035928,3.5695,18.0,15.0,21.0,19.0,1
no,White,no,no,no,no,no,56.0,69.0,2.4413893,3.0240002,25.0,22.0,29.0,25.0,1
yes,African-American,,yes,no,yes,no,25.0,39.0,0.0,2.276,12.0,16.0,17.0,16.0,1
yes,White,yes,yes,no,no,no,0.0,,10.355556,1.26,,,,,1
no,White,no,no,no,no,no,,,38.900002,2.0409999,,,,,0
no,White,yes,no,no,yes,no,21.0,45.0,5.1982245,2.7567501,19.0,16.0,19.0,18.0,1
no,White,no,no,no,no,yes,55.0,80.0,2.1295488,3.652,31.0,27.0,27.0,27.0,1
no,African-American,yes,no,no,no,no,,,3.5454547,3.4819999,,,,,0
yes,White,yes,no,no,yes,no,66.0,39.0,3.3792615,3.1182499,15.0,24.0,20.0,22.0,1
no,White,yes,no,no,no,no,62.0,66.0,16.102417,2.9087,19.0,21.0,22.0,21.0,1
no,White,no,no,no,no,no,74.0,50.0,1.934971,3.48,22.0,18.0,20.0,20.0,1
no,White,no,no,no,yes,no,37.0,34.0,5.737143,2.8570001,10.0,16.0,15.0,14.0,1
yes,White,no,no,no,no,yes,,,3.2304285,3.2,16.0,17.0,18.0,16.0,1
no,White,no,no,no,yes,no,64.0,63.0,3.5843973,3.625,24.0,23.0,24.0,24.0,1
no,White,yes,no,no,yes,no,,,19.577221,2.04,,,,,0
no,White,yes,no,no,yes,no,5.0,27.0,4.0956521,2.3203499,15.0,14.0,18.0,17.0,1
no,White,yes,no,no,yes,no,53.0,64.0,11.257511,2.72925,16.0,15.0,22.0,18.0,1
yes,White,yes,yes,no,no,yes,25.0,30.0,4.3006043,3.77652,21.0,17.0,19.0,19.0,1
no,,no,no,no,no,yes,42.0,52.0,3.5507867,3.355,26.0,23.0,22.0,23.0,1
no,White,no,no,no,no,no,80.0,78.0,4.2383637,2.81955,15.0,15.0,13.0,15.0,1
no,White,no,no,no,no,no,24.0,31.0,3.9828928,2.3333299,11.0,16.0,13.0,15.0,1
no,African-American,no,no,no,yes,no,,,2.2647481,2.2679999,15.0,15.0,19.0,17.0,1
no,White,yes,no,no,no,no,66.0,80.0,7.252212,3.539,12.0,16.0,18.0,16.0,1
yes,White,no,no,no,no,no,39.0,35.0,6.666667,2.5725,18.0,14.0,18.0,17.0,1
no,White,yes,no,no,yes,no,,21.0,13.532786,1.65878,,,,,0
yes,African-American,yes,no,no,yes,no,,,0.0,,,,,,0
no,White,no,no,no,no,no,39.0,38.0,16.153845,2.457,31.0,17.0,31.0,24.0,1
yes,White,no,no,no,yes,no,49.0,80.0,6.1079545,2.44275,29.0,15.0,22.0,21.0,1
yes,White,,no,no,no,no,,,8.7492752,1.8086667,7.0,11.0,11.0,12.0,1
yes,White,no,no,no,no,no,53.0,46.0,1.4816384,2.402,14.0,16.0,21.0,17.0,1
yes,White,yes,no,no,no,no,,,2.1814284,3.63625,26.0,26.0,28.0,25.0,1
yes,White,yes,no,no,yes,no,22.0,31.0,3.085799,1.67345,14.0,16.0,14.0,15.0,1
yes,White,no,no,no,no,yes,43.0,70.0,7.6491227,2.9091501,14.0,16.0,17.0,16.0,1
no,White,yes,yes,no,no,no,11.0,34.0,24.261364,2.1621926,11.0,15.0,16.0,14.0,1
no,African-American,yes,no,no,no,no,,,10.125,2.5323,13.0,13.0,11.0,12.0,1
yes,White,yes,no,no,no,yes,62.0,70.0,6.7488151,3.07956,22.0,20.0,26.0,23.0,1
yes,White,no,no,no,no,yes,57.0,54.0,4.685606,2.615,15.0,20.0,16.0,17.0,1
yes,White,no,no,no,no,yes,45.0,46.0,0.41666669,3.007,18.0,16.0,21.0,17.0,1
yes,African-American,yes,yes,no,no,no,4.0,31.0,15.607594,0.91415,,,,,0
no,White,yes,no,no,yes,no,33.0,35.0,25.446524,2.1681499,16.0,15.0,17.0,17.0,1
yes,White,no,no,no,yes,no,6.0,31.0,3.539886,1.8685,12.0,15.0,11.0,14.0,1
yes,White,no,no,no,no,yes,,21.0,0.99278504,3.0580001,21.0,25.0,24.0,24.0,1
no,White,yes,no,no,no,yes,18.0,39.0,0.0,3.1430001,24.0,16.0,27.0,23.0,1
no,White,,no,no,no,no,,,2.6417911,3.7504649,23.0,24.0,25.0,24.0,1
yes,African-American,yes,no,no,no,no,0.0,,7.3156381,1.60095,10.0,11.0,13.0,13.0,1
yes,White,yes,yes,no,yes,yes,0.0,,3.1710525,3.1094999,,,,,1
no,White,yes,no,no,no,no,43.0,42.0,0.95021337,2.0394502,14.0,14.0,17.0,14.0,1
yes,White,no,yes,no,no,no,0.0,,4.5337243,3.0650001,,,,,1
no,African-American,no,no,no,yes,no,,,0.0,0.4091,,,,,0
yes,White,yes,no,no,no,no,50.0,49.0,8.7234955,2.0085001,20.0,15.0,18.0,18.0,1
no,White,no,no,no,no,yes,30.0,55.0,2.7988338,3.602,24.0,20.0,32.0,27.0,1
yes,White,no,no,no,no,yes,70.0,64.0,13.559155,3.494,23.0,26.0,26.0,26.0,1
yes,White,yes,no,no,yes,no,,,4.4696531,2.05,,,,,0
yes,White,no,no,no,no,no,79.0,78.0,1.8725927,4.0,34.0,36.0,36.0,35.0,1
yes,White,no,no,no,no,yes,55.0,59.0,5.2593122,3.66435,21.0,24.0,22.0,21.0,1
yes,Multiple/Native American,yes,no,no,no,no,44.0,39.0,3.1441648,2.9816668,18.0,21.0,19.0,19.0,1
yes,White,yes,yes,no,no,no,30.0,42.0,6.3685718,2.6010001,18.0,18.0,15.0,18.0,1
yes,White,yes,no,no,yes,no,0.0,14.0,4.4139404,1.869,15.0,15.0,15.0,16.0,1
yes,White,yes,no,no,no,no,22.0,35.0,8.4368734,2.0834999,11.0,15.0,12.0,13.0,1
no,White,no,no,no,no,no,25.0,33.0,5.0241475,3.4200001,23.0,20.0,15.0,20.0,1
no,White,yes,no,no,yes,no,34.0,45.0,14.425686,2.4349999,10.0,16.0,14.0,14.0,1
no,White,no,no,no,yes,no,22.0,51.0,6.6753626,2.84815,23.0,21.0,21.0,22.0,1
yes,White,yes,no,no,no,no,76.0,60.0,2.8090379,3.0618501,,,,,0
no,White,yes,no,no,no,yes,43.0,53.0,7.9467626,2.7943249,27.0,16.0,26.0,25.0,1
no,White,no,no,no,no,yes,66.0,75.0,6.1104813,3.7049999,29.0,25.0,25.0,26.0,1
yes,White,yes,no,no,yes,no,43.0,38.0,7.2702703,3.0599999,13.0,18.0,19.0,18.0,1
no,White,no,no,no,no,no,,,4.6781611,3.562485,21.0,17.0,22.0,20.0,1
no,African-American,yes,no,no,yes,no,22.0,37.0,5.4886684,2.5,13.0,13.0,14.0,12.0,1
no,African-American,yes,no,no,no,no,46.0,39.0,2.8814654,2.6434999,,,,,0
no,White,yes,no,no,no,yes,24.0,33.0,2.8,3.0149999,22.0,17.0,27.0,19.0,1
yes,White,no,no,no,no,no,34.0,51.0,14.538572,2.9784999,22.0,17.0,20.0,20.0,1
no,White,yes,no,no,yes,no,27.0,51.0,11.551205,3.5263,20.0,14.0,18.0,18.0,1
yes,African-American,yes,no,no,yes,no,0.0,,14.425373,0.80000001,,,,,0
yes,White,no,no,no,no,yes,80.0,67.0,2.7455621,3.3777499,25.0,23.0,22.0,24.0,1
no,White,yes,no,no,no,no,32.0,50.0,4.9631205,2.0334001,22.0,21.0,19.0,21.0,1
no,White,yes,no,no,no,no,27.0,39.0,10.507102,2.276,,,,,0
yes,White,yes,no,no,no,no,30.0,31.0,7.900238,1.1667,9.0,14.0,15.0,15.0,1
yes,African-American,yes,no,no,no,no,18.0,19.0,2.3562231,2.4260001,,,,,0
no,White,no,no,no,no,yes,70.0,74.0,1.2939481,3.851275,27.0,29.0,29.0,27.0,1
yes,White,no,no,no,no,no,39.0,47.0,4.4579172,2.6135001,20.0,17.0,20.0,19.0,1
no,White,yes,no,no,no,no,44.0,47.0,5.2766271,3.743,24.0,17.0,24.0,20.0,1
yes,White,no,no,no,no,no,60.0,61.0,6.2738943,2.1989999,13.0,19.0,15.0,18.0,1
yes,White,yes,no,no,no,no,43.0,57.0,25.128206,1.222,19.0,17.0,21.0,18.0,1
no,Hispanic,yes,no,no,no,no,32.0,46.0,12.854546,2.586,18.0,17.0,18.0,19.0,1
no,White,no,no,no,no,yes,59.0,56.0,3.4326646,3.4163649,20.0,25.0,22.0,23.0,1
no,Multiple/Native American,yes,no,no,yes,no,,,9.7596149,1.14,13.0,15.0,13.0,14.0,1
yes,White,no,no,no,no,no,30.0,41.0,3.0339944,1.5,20.0,16.0,20.0,18.0,1
no,White,no,no,no,no,no,,,1.6618705,4.0,30.0,35.0,32.0,30.0,1
yes,White,yes,no,no,yes,no,52.0,52.0,7.1203442,1.5089999,12.0,17.0,14.0,16.0,0
yes,White,yes,no,no,no,yes,68.0,65.0,1.7879655,3.78304,35.0,26.0,33.0,30.0,0
no,White,no,no,no,yes,no,65.0,58.0,1.9176301,3.6100001,,,,,1
yes,White,yes,yes,no,no,yes,7.0,34.0,7.3870502,3.5,23.0,21.0,27.0,24.0,1
yes,White,yes,no,no,no,no,,,36.792454,2.3369999,16.0,16.0,19.0,18.0,1
yes,White,yes,no,no,yes,no,56.0,59.0,11.086143,1.8685,21.0,20.0,23.0,22.0,1
no,African-American,yes,no,no,yes,no,,,0.0,2.9419999,,,,,0
yes,White,no,no,no,yes,no,,19.0,26.157482,0.8889333,,,,,0
no,White,no,no,no,no,no,52.0,60.0,4.2000003,3.5799999,26.0,23.0,27.0,26.0,1
no,White,no,no,no,yes,no,8.0,19.0,5.0455837,2.6508501,13.0,13.0,15.0,12.0,1
yes,White,no,no,no,no,no,26.0,23.0,3.9204543,1.9909101,14.0,19.0,15.0,17.0,1
yes,White,no,no,no,no,no,49.0,68.0,3.5051095,2.6983352,,,,,0
yes,White,yes,no,no,no,no,74.0,61.0,3.6855896,3.5,34.0,34.0,34.0,34.0,1
yes,African-American,yes,yes,no,no,no,4.0,0.0,12.4375,1.40905,9.0,14.0,11.0,11.0,1
yes,White,no,no,no,yes,no,49.0,44.0,19.115818,1.6075001,12.0,14.0,15.0,14.0,1
no,White,yes,no,no,no,yes,80.0,64.0,6.4331393,3.3334999,27.0,27.0,32.0,28.0,1
no,White,yes,no,no,no,no,37.0,39.0,17.47415,1.485,14.0,16.0,15.0,16.0,1
yes,White,no,yes,no,no,yes,80.0,80.0,4.2330508,4.0,33.0,34.0,30.0,32.0,1
no,African-American,yes,no,no,no,yes,,,11.120356,3.5218999,24.0,23.0,22.0,23.0,1
yes,African-American,yes,no,no,no,no,60.0,38.0,4.2848921,2.6099849,22.0,24.0,22.0,23.0,1
no,White,no,no,no,no,yes,,,2.6998088,4.0,33.0,27.0,23.0,27.0,1
yes,White,no,no,no,no,yes,79.0,64.0,0.96453905,3.7491951,15.0,23.0,19.0,21.0,1
yes,White,yes,no,no,no,no,51.0,59.0,2.3121388,2.549,23.0,20.0,21.0,22.0,1
yes,White,yes,yes,no,no,no,50.0,35.0,9.1195154,2.7825,8.0,16.0,13.0,12.0,1
yes,White,yes,no,no,yes,no,4.0,38.0,12.101674,2.6287799,,,,,0
no,White,no,no,no,no,no,6.0,28.0,10.080925,2.1333334,23.0,23.0,29.0,26.0,1
yes,White,yes,no,no,no,no,34.0,32.0,15.785868,2.138,15.0,16.0,15.0,16.0,1
no,White,yes,no,no,no,no,54.0,39.0,9.4254055,2.2905002,14.0,16.0,14.0,14.0,1
yes,White,yes,no,no,no,no,,,3.3776519,3.0469999,15.0,16.0,18.0,16.0,1
yes,African-American,yes,no,no,no,yes,58.0,60.0,3.2382979,3.3200002,25.0,16.0,22.0,22.0,1
no,White,yes,no,no,yes,no,8.0,1.0,11.179775,1.678,10.0,13.0,12.0,12.0,1
no,White,no,no,no,no,no,60.0,64.0,6.2330933,4.0,34.0,33.0,29.0,35.0,1
yes,African-American,yes,no,no,yes,no,24.0,32.0,20.34712,2.04,,,,,0
no,African-American,yes,no,no,yes,no,55.0,52.0,6.3327031,2.9333301,,,,,0
yes,White,no,no,no,no,no,28.0,42.0,8.1856117,2.1104999,15.0,18.0,14.0,16.0,1
no,White,no,no,no,no,no,79.0,55.0,6.2065525,2.9637699,20.0,21.0,20.0,21.0,1
yes,White,yes,yes,no,no,yes,59.0,44.0,5.1051874,3.4505,26.0,24.0,24.0,25.0,1
yes,White,yes,yes,no,yes,no,25.0,28.0,22.143061,1.808,11.0,16.0,16.0,16.0,0
yes,White,yes,yes,no,no,no,69.0,64.0,17.891891,2.17555,35.0,24.0,32.0,29.0,1
no,White,yes,no,no,no,yes,50.0,58.0,12.19697,3.3414998,27.0,24.0,25.0,26.0,1
yes,White,yes,yes,no,no,no,11.0,25.0,2.8305087,2.51,8.0,13.0,,,0
yes,White,no,no,no,no,no,34.0,44.0,3.5202899,2.4030399,19.0,16.0,17.0,18.0,1
yes,White,yes,no,no,no,no,44.0,31.0,3.7709496,3.6066,21.0,23.0,27.0,25.0,1
yes,White,yes,no,no,yes,no,,,28.467018,0.62796003,,,,,0
yes,White,no,no,no,yes,no,43.0,49.0,5.4992719,1.9300001,14.0,20.0,14.0,16.0,1
no,White,no,no,no,no,no,80.0,80.0,6.7951288,3.9584999,35.0,36.0,36.0,35.0,1
yes,African-American,yes,no,no,no,no,,,4.8620687,3.2098999,23.0,22.0,29.0,25.0,1
no,White,yes,no,no,yes,no,,,9.2728815,2.2719998,,,,,1
yes,White,no,no,no,yes,no,80.0,55.0,5.6370058,3.661,23.0,21.0,20.0,21.0,1
no,White,yes,no,no,no,no,36.0,38.0,7.5595407,1.7758449,18.0,16.0,12.0,16.0,1
no,African-American,no,no,no,yes,no,52.0,55.0,10.01295,2.64605,21.0,23.0,20.0,20.0,1
no,White,no,no,no,no,yes,39.0,39.0,4.385838,3.0238349,26.0,16.0,18.0,19.0,1
no,White,no,no,no,no,yes,59.0,54.0,1.5447977,3.365,25.0,24.0,22.0,24.0,1
yes,White,no,no,no,no,yes,69.0,56.0,6.909091,2.96,16.0,21.0,19.0,19.0,1
no,White,no,no,no,yes,no,27.0,43.0,9.4879904,2.5862999,16.0,16.0,19.0,16.0,1
no,White,no,no,no,no,no,42.0,69.0,5.7354198,2.8649998,19.0,16.0,19.0,17.0,1
no,African-American,yes,no,no,no,no,33.0,39.0,12.015581,2.3910999,9.0,16.0,14.0,14.0,1
no,White,yes,no,no,yes,no,0.0,,3.8694403,2.22,,,,,0
no,White,yes,no,no,yes,no,26.0,58.0,17.785059,2.638,,,,,0
yes,African-American,yes,no,no,yes,no,,,35.5,0.83329999,,,,,0
no,White,yes,no,no,no,no,5.0,30.0,20.38372,2.408,12.0,15.0,14.0,16.0,1
no,White,no,no,no,no,yes,56.0,58.0,8.7179127,2.9825001,24.0,26.0,25.0,25.0,0
no,African-American,yes,no,no,no,no,0.0,,15.187428,1.9944999,10.0,14.0,18.0,15.0,1
no,Hispanic,yes,no,no,no,no,27.0,44.0,20.170778,2.365,,,,,1
yes,White,no,no,no,no,no,51.0,39.0,3.7470591,2.7410002,13.0,18.0,19.0,18.0,1
yes,White,no,no,no,no,yes,63.0,52.0,2.7664757,3.4725699,24.0,24.0,32.0,26.0,1
no,White,yes,no,no,no,no,26.0,70.0,5.0605145,3.5925,28.0,16.0,23.0,22.0,1
no,White,yes,no,no,yes,no,61.0,61.0,7.0531759,3.6494999,16.0,23.0,14.0,16.0,1
yes,White,no,no,no,no,yes,60.0,74.0,6.104651,3.7497499,25.0,24.0,26.0,25.0,1
yes,White,no,no,no,yes,no,59.0,58.0,6.8547006,2.6663499,24.0,25.0,26.0,24.0,1
no,White,no,yes,no,no,no,,,0.0,1.776,,,,,0
yes,White,no,no,no,yes,yes,80.0,57.0,7.0,3.44084,26.0,26.0,22.0,27.0,1
yes,White,yes,no,no,no,yes,49.0,53.0,4.892489,2.90505,23.0,23.0,22.0,22.0,1
no,African-American,yes,no,no,no,no,,38.0,20.535519,2.8039999,9.0,15.0,13.0,12.0,1
yes,White,yes,no,no,no,no,0.0,,16.627535,1.8094,,,,,0
yes,White,yes,no,no,no,yes,41.0,43.0,3.4625175,3.2219999,27.0,27.0,32.0,29.0,1
no,White,no,no,no,no,no,36.0,59.0,4.827786,3.4245124,23.0,17.0,18.0,20.0,1
no,White,yes,no,no,no,no,37.0,58.0,2.7593124,3.194,16.0,15.0,19.0,16.0,0
no,White,no,no,no,no,yes,62.0,64.0,3.0697012,3.5749998,21.0,25.0,23.0,22.0,1
yes,White,no,no,no,no,no,39.0,47.0,5.5662303,1.2496166,,,,,1
yes,White,yes,no,no,no,yes,80.0,58.0,8.6847658,3.8390002,22.0,21.0,28.0,22.0,1
yes,African-American,,no,no,yes,no,,,0.0,2.2550001,,,,,0
no,White,no,no,no,no,yes,48.0,68.0,1.3281472,3.9460001,33.0,32.0,34.0,31.0,1
yes,White,no,no,no,no,no,0.0,,8.6842108,2.6908002,19.0,17.0,18.0,18.0,1
yes,White,no,no,no,no,no,35.0,40.0,2.7867436,2.3885,21.0,15.0,22.0,20.0,1
yes,White,no,no,no,no,yes,59.0,34.0,2.4352255,3.3127499,21.0,23.0,23.0,22.0,1
no,White,yes,no,no,yes,no,12.0,26.0,10.622302,2.4159999,12.0,13.0,13.0,13.0,1
no,White,no,no,no,no,yes,66.0,37.0,3.2733812,3.8540001,15.0,24.0,17.0,20.0,1
yes,White,yes,no,no,no,no,28.0,38.0,9.868021,2.7119999,15.0,16.0,15.0,16.0,1
no,White,yes,no,no,no,no,25.0,29.0,3.0221894,1.506325,11.0,15.0,14.0,14.0,0
no,White,yes,no,no,yes,yes,55.0,72.0,3.5085535,3.2175002,23.0,24.0,23.0,23.0,1
no,White,no,no,no,no,no,25.0,59.0,4.8000002,1.702,,,,,1
yes,White,no,no,no,no,no,62.0,52.0,3.1687944,2.4159999,20.0,18.0,19.0,20.0,1
no,White,no,no,no,no,yes,36.0,33.0,9.6323528,2.095,12.0,16.0,17.0,14.0,1
yes,White,yes,yes,no,no,no,24.0,54.0,6.3872833,2.6700001,11.0,17.0,19.0,18.0,1
yes,White,no,no,no,no,no,,,2.74,2.3698666,16.0,15.0,17.0,16.0,1
yes,White,yes,no,no,no,no,11.0,36.0,13.340058,2.358,20.0,15.0,20.0,18.0,1
yes,Hispanic,yes,no,no,no,no,38.0,43.0,19.063492,2.6700001,,,,,0
no,White,yes,no,no,no,no,21.0,39.0,4.3954153,2.056,17.0,16.0,11.0,17.0,0
yes,White,yes,no,no,no,no,28.0,39.0,8.637784,1.967,17.0,16.0,13.0,16.0,1
yes,White,no,no,no,no,yes,65.0,36.0,5.8377995,2.2366049,24.0,23.0,22.0,21.0,1
yes,White,no,no,no,yes,no,,,8.6017447,2.6243501,22.0,17.0,22.0,19.0,1
yes,African-American,yes,yes,no,no,no,9.0,9.0,5.6190476,2.0352502,14.0,14.0,15.0,14.0,0
yes,White,no,no,no,yes,no,,,0.22950819,0.1332,,,,,0
no,White,yes,no,no,no,no,48.0,46.0,3.0158958,3.03,20.0,18.0,18.0,18.0,0
yes,White,no,no,no,no,no,79.0,72.0,11.08,3.1394999,34.0,28.0,34.0,31.0,1
yes,White,no,no,no,no,yes,72.0,71.0,4.4530554,3.598,29.0,26.0,26.0,28.0,1
yes,White,no,no,no,no,no,80.0,66.0,1.5573065,4.0,27.0,26.0,19.0,25.0,1
yes,Multiple/Native American,no,no,no,no,no,80.0,46.0,6.9278498,2.9885001,16.0,21.0,13.0,19.0,1
yes,White,yes,no,no,no,no,34.0,33.0,2.7510915,0.83020002,,,,,0
yes,African-American,yes,no,no,no,no,0.0,0.0,7.3504534,1.3702667,15.0,16.0,13.0,15.0,1
no,White,yes,no,no,no,yes,14.0,54.0,16.264706,1.42888,35.0,26.0,32.0,32.0,1
no,White,no,no,no,no,yes,55.0,80.0,3.0510638,4.0,28.0,19.0,24.0,24.0,1
no,White,yes,no,no,no,no,37.0,50.0,6.83741,1.326,15.0,17.0,11.0,16.0,1
yes,African-American,yes,no,no,no,no,2.0,19.0,15.613889,1.625,,,,,0
no,White,yes,no,no,yes,no,,,0.0,,,,,,1
no,White,no,no,no,no,yes,80.0,73.0,2.1008019,3.9600401,32.0,27.0,33.0,31.0,1
no,White,yes,no,no,no,no,36.0,36.0,9.2357559,3.105,15.0,20.0,13.0,17.0,1
yes,Hispanic,yes,yes,no,no,no,,,14.361032,1.598532,12.0,16.0,10.0,15.0,1
yes,White,yes,no,no,no,no,30.0,56.0,5.0727534,1.0304999,,,,,1
no,White,yes,no,no,no,yes,60.0,68.0,15.109375,3.3200002,23.0,17.0,30.0,22.0,1
no,White,yes,no,no,no,no,0.0,,2.0086455,2.0,12.0,16.0,12.0,15.0,1
yes,Asian/Pacific Islander,no,no,no,yes,no,80.0,80.0,2.5707965,3.7631001,29.0,28.0,30.0,28.0,1
no,White,no,no,no,no,no,34.0,46.0,15.763006,2.6719999,20.0,16.0,20.0,18.0,1
yes,White,yes,no,no,yes,no,,,17.509869,1.8301001,15.0,16.0,21.0,17.0,1
yes,White,yes,no,no,yes,no,32.0,31.0,4.0160117,3.0339999,15.0,17.0,18.0,18.0,1
yes,White,yes,no,no,no,yes,75.0,57.0,5.0377908,3.8095,23.0,29.0,27.0,23.0,1
no,White,no,no,no,no,no,56.0,45.0,6.3128576,3.711725,27.0,25.0,32.0,26.0,1
yes,White,no,yes,no,no,yes,72.0,62.0,4.2428975,3.45225,22.0,22.0,22.0,24.0,1
yes,White,no,no,no,no,yes,70.0,58.0,6.1079545,2.7025499,22.0,19.0,16.0,21.0,1
yes,African-American,yes,yes,no,no,no,35.0,55.0,0.79142857,2.4376502,17.0,19.0,19.0,19.0,1
no,White,yes,no,no,no,no,9.0,32.0,6.5128207,2.9435,14.0,16.0,18.0,15.0,1
yes,White,yes,no,no,no,no,37.0,48.0,19.745714,2.3878999,14.0,16.0,15.0,16.0,1
no,African-American,yes,no,no,no,no,50.0,64.0,4.7653794,3.3482151,11.0,18.0,15.0,16.0,1
yes,White,no,no,no,no,no,27.0,53.0,0.80654341,2.223,21.0,15.0,23.0,19.0,1
yes,White,yes,no,no,no,no,23.0,24.0,7.7238421,3.052,10.0,16.0,15.0,14.0,1
no,White,yes,no,no,yes,yes,38.0,62.0,7.3868613,3.5357151,19.0,21.0,23.0,22.0,1
no,White,yes,no,no,yes,no,,,10.420977,2.6698651,19.0,17.0,14.0,17.0,1
yes,White,yes,yes,no,yes,no,53.0,58.0,6.1437039,2.464,13.0,13.0,15.0,14.0,1
no,White,no,no,no,no,no,29.0,31.0,9.5862074,1.5463333,8.0,15.0,16.0,15.0,0
no,White,yes,no,no,no,no,56.0,45.0,5.3424859,2.83605,25.0,20.0,29.0,23.0,1
no,White,yes,yes,no,yes,no,18.0,30.0,8.3192091,1.9202499,11.0,15.0,12.0,12.0,1
yes,White,yes,yes,no,no,no,8.0,19.0,13.095238,2.0715001,19.0,16.0,16.0,17.0,1
yes,White,no,no,no,no,no,74.0,64.0,0.65317917,4.0,,,,,0
no,White,no,no,no,no,yes,74.0,56.0,4.5841727,3.332,27.0,25.0,25.0,26.0,1
